# Seed photographs — where every file under db/seeds/media/<category>/ came from.
#
# All are free photos from Unsplash (https://unsplash.com/license): free to use commercially and
# non-commercially, no permission needed. Unsplash+ (premium) images are deliberately excluded.
# tools/fetch-seed-media.sh reads this file and downloads anything missing as
# <category>/<pool>-NN.jpg, NN counting from 01 in the order listed within each pool.
#
# category	pool	unsplash image id
real-estate	villa	photo-1580587771525-78b9dba3b914
real-estate	villa	photo-1613490493576-7fde63acd811
real-estate	villa	photo-1505843513577-22bb7d21e455
real-estate	villa	photo-1613977257365-aaae5a9817ff
real-estate	villa	photo-1706808849780-7a04fbac83ef
real-estate	villa	photo-1613977257363-707ba9348227
real-estate	villa	photo-1512917774080-9991f1c4c750
real-estate	villa	photo-1600596542815-ffad4c1539a9
real-estate	villa	photo-1582268611958-ebfd161ef9cf
real-estate	villa	photo-1593714604578-d9e41b00c6c6
real-estate	villa	photo-1544984243-ec57ea16fe25
real-estate	villa	photo-1564013799919-ab600027ffc6
real-estate	villa	photo-1602343168117-bb8ffe3e2e9f
real-estate	villa	photo-1623298317883-6b70254edf31
real-estate	villa	photo-1748063578185-3d68121b11ff
real-estate	villa	photo-1722421492323-eaf9c401befe
real-estate	house	photo-1625283518755-6047df2fb180
real-estate	house	photo-1576375801517-45814f908aa4
real-estate	house	photo-1698362695891-8628b6ff6802
real-estate	house	photo-1598232973707-41b8faa2592c
real-estate	house	photo-1738796027443-b8d03fd07298
real-estate	house	photo-1618247500327-c2976255fed1
real-estate	house	photo-1721815693498-cc28507c0ba2
real-estate	house	photo-1706808849777-96e0d7be3bb7
real-estate	tower	photo-1515263487990-61b07816b324
real-estate	tower	photo-1624204386084-dd8c05e32226
real-estate	tower	photo-1545324418-cc1a3fa10c00
real-estate	tower	photo-1551361415-69c87624334f
real-estate	tower	photo-1564471925181-982d3a6c1a3f
real-estate	tower	photo-1565363887715-8884629e09ee
real-estate	tower	photo-1525953776754-6c4b7ee655ab
real-estate	tower	photo-1759472018220-d6e258796fce
real-estate	tower	photo-1786457070849-9adc7d91c682
real-estate	tower	photo-1760799253851-1960e4f6ba50
real-estate	living	photo-1583847268964-b28dc8f51f92
real-estate	living	photo-1564078516393-cf04bd966897
real-estate	living	photo-1598928506311-c55ded91a20c
real-estate	living	photo-1618221195710-dd6b41faaea6
real-estate	living	photo-1560448204-e02f11c3d0e2
real-estate	living	photo-1600210491892-03d54c0aaf87
real-estate	living	photo-1554995207-c18c203602cb
real-estate	living	photo-1682184805271-11671b7ecf4c
